variable,reference,lat,lon,mat,map,ph_soil,species,family,genus,photopathway,legume,managed,growthform,functionaltype,broadleaf_conifer,evergreen_deciduous,ninorg_form,ndep_kg_ha_yr,duration_yr,load,value_t,value_c,n_t,n_c,sd_t,sd_c,ln_rr,v,w,cluster,w_dash,,,,,,,,,,,,,,,,
Aarea,Barker-2006-New Phytologist,36.82N,115.92W,15.5,138,8.4,Larrea tridentata,Zygophyllaceae,Larrea,C3,non-legumes,Natural,Woody,Shrub,NA,NA,NO3-,40,3,120,12.23,14,4,4,2.14,1.9,-0.13517,0.01226,81.57237,1,81.57237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Bauer-2004-Forest Ecology and Management,42.50N,72.17W,13,1120,4.8,Pinus resinosa,Pinaceae,Pinus,C3,non-legumes,Managed,Woody,Tree,Conifer,Evergreen,NH4NO3,150,12,1800,1.11,1.66,3,3,0.259808,0.433013,-0.40246,0.04094,24.42444,2,24.42444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Bethers-2009-Forest Ecology and Management,44.87N,68.11W,4.9,1400,4.8,Acer saccharum,Sapindaceae,Acer,C3,non-legumes,Natural,Woody,Tree,Broadleaf,Deciduous,NH4+,25.2,17,428.4,5.79,5.82,14,12,1.870829,1.004589,-0.00517,0.00994,100.60191,3,100.60191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Bowman-1993-Ecology,NA,NA,-3,900,NA,Bistorta bistortoides,Polygonaceae,Bistorta,C3,non-legumes,Natural,Herb,Forb,NA,NA,NH4NO3,250,2,500,16.4,17.3,5,5,2.24,3.35,-0.05343,0.01124,89.00109,4,44.500545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Bowman-1993-Ecology,NA,NA,-3,900,NA,Bistorta bistortoides,Polygonaceae,Bistorta,C3,non-legumes,Natural,Herb,Forb,NA,NA,NH4NO3,250,2,500,15.5,13.2,5,5,2.91,1.79,0.16062,0.01071,93.39306,4,46.69653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Bowman-1993-Ecology,NA,NA,-3,900,NA,Caltha leptosepala,Ranunculaceae,Caltha,C3,non-legumes,Natural,Herb,Forb,NA,NA,NH4NO3,250,2,500,12,10.9,5,5,1.12,1.57,0.09614,0.00586,170.63847,5,170.63847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Bowman-1993-Ecology,NA,NA,-3,900,NA,Carex scopulorum,Cyperaceae,Carex,C3,non-legumes,Natural,Herb,Grass,NA,NA,NH4NO3,250,2,500,11.9,11.4,5,5,0.89,1.34,0.04293,0.0039,256.41375,6,256.41375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Bowman-1993-Ecology,NA,NA,-3,900,NA,Kobresia myosuroides,Cyperaceae,Kobresia,C3,non-legumes,Natural,Herb,Grass,NA,NA,NH4NO3,250,2,500,0.92,0.91,5,5,0.13,0.11,0.01093,0.00727,137.5087,7,137.5087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Bowman-1995-Oecologia,NA,NA,-3,900,NA,Acomastylis rossii,Rosaceae,Acomastylis,C3,non-legumes,Natural,Herb,Forb,NA,NA,NH4NO3,158,2,316,15.9,15.5,5,5,4.7,4.25,0.02548,0.03247,30.79771,8,15.398855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Bowman-1995-Oecologia,NA,NA,-3,900,NA,Acomastylis rossii,Rosaceae,Acomastylis,C3,non-legumes,Natural,Herb,Forb,NA,NA,NH4NO3,158,2,316,19.9,14.7,5,5,1.79,2.46,0.30287,0.00722,138.58785,8,69.293925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
