Site Name,Experiment Name,Experiment Number,Treatments_all,Treatment,Treatment replication,Vegetation type,Plants specs,Start Date,Start Year,End Year,End Date,Age at start,Remarks,Water,Start of w treatment,End of w treatment,WQuantity control,WQuantity treament,Unit WQuantity,WRegulation,WDistribution,SWC change,Warming,TQuantity air control,TQuantity air treatment,TQuantity soil control,TQuantity soil treatment,TDistribution,Warming type,CO2,CQuantity Control,CQuantity Treatment,Cdistribution,Fumigation type,Nutrients,Type,QuantityAll,DistributionAll,N form,N Quantity control,N Quantity treatment,N Quantity unit,N Distribution,P form,P Quantity control,P Quantity treatment,P Quantity unit,P Distribution,K form,K Quantity control,K Quantity treatment,K Quantity unit,K Distribution,Other nutrient forms,Other nutrients quantity control,Other nutrients quantity treatment,Extra nutrient info,Other treatments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen,Aberdeen_lolium_c,5,CO2xFertilization,c,4,Lolium perenne,,,,,,,16h photperiod; 20/16°C day/night temperatures.,Irrigation,,,,,,,3 times a week,,Ambient,,,,,,,Treatment,,"370, 570",,controlled environment room,No manipulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen,Aberdeen_lolium_cf,6,CO2xFertilization,cf,4,Lolium perenne,,,,,,,,Irrigation,,,,,,,3 times a week,,Ambient,,,,,,,Treatment,,"370, 570",,controlled environment room,Treatment,nutrient mixture (N and P),see paper,applied each time the soil moisture was adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen,Aberdeen_lolium_f,687,CO2xFertilization,f,4,Lolium perenne,,,,,,,,Irrigation,,,,,,,3 times a week,,Ambient,,,,,,,Ambient,,,,,Treatment,nutrient mixture (N and P),see paper,applied each time the soil moisture was adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abisko_subarctic heath,Abisko_subarctic_c,19,CO2,c,8,dwarf shrub/heath,open canopy of Betula pubescens and a dense dwarf shrub layer with scattered herbs and graminoids,1993,1993,,,,also UV treatment,No manipulation,,,,,,,,,Ambient,,,,,,,Treatment,,"ambient, 600",,OTC,No manipulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amsterdam Greenhouses,AG_c,20,CO2,c,2,six different non-woody species,,05/1998,1998,,,,25/17°C day/night temperatures,Irrigation,,,,,,,,,Ambient,,,,,,,Treatment,,"ambient, 700",,Greenhouses,Fertilizer application,NPK,see paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antwerp_grasslands,UA_Mycarbio_cw,498,CO2xWarming,cw,5,Grassland,,,,,,,,No manipulation,,,,,,,,,Treatment,,3 (air),,,,Greenhouses,Treatment,,350,,Greenhouses,No manipulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antwerp_OTC,UA_OTC_c,499,CO2,c,2,Pinus sylvestris,,04/1996,1996,,,3,,No manipulation,,,,,,,,,Ambient,,,,,,,Treatment,,"ambient, +400",,OTC,No manipulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AustraliaCotton,AustraliaCotton_c,,CO2,c,4,Artificial,gossypium hirsutum,NA,NA,,,0,,No manipulation,,,,,,,,,Ambient,,,,,,,Treatment,350,550,,"as compressed, food grade CO2 from BOC ?",No manipulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AustraliaCotton,AustraliaCotton_c+,,CO2,c+,4,Artificial,gossypium hirsutum,NA,NA,,,0,,No manipulation,,,,,,,,,Ambient,,,,,,,Treatment,350,900,,"as compressed, food grade CO2 from BOC ?",No manipulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AustraliaCotton,AustraliaCotton_f,,Fertilization,f,4,Artificial,gossypium hirsutum,NA,NA,,,0,,No manipulation,,,,,,,,,Ambient,,,,,,,Ambient,,,,,Treatment,KNO3:Ca(NO3)2:Mg(NO3)2:(NH4)2SO4:N-solution,,,KNO3:Ca(NO3)2:Mg(NO3)2:(NH4)2SO4:N,0,8,mg / kg,applied weekly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AustraliaCotton,AustraliaCotton_f+,,Fertilization,f+,4,Artificial,gossypium hirsutum,NA,NA,,,0,,No manipulation,,,,,,,,,Ambient,,,,,,,Ambient,,,,,Treatment,KNO3:Ca(NO3)2:Mg(NO3)2:(NH4)2SO4:N-solution,,,KNO3:Ca(NO3)2:Mg(NO3)2:(NH4)2SO4:N,0,17,mg / kg,applied weekly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AustraliaCotton,AustraliaCotton_f2+,,Fertilization,f2+,4,Artificial,gossypium hirsutum,NA,NA,,,0,,No manipulation,,,,,,,,,Ambient,,,,,,,Ambient,,,,,Treatment,KNO3:Ca(NO3)2:Mg(NO3)2:(NH4)2SO4:N-solution,,,KNO3:Ca(NO3)2:Mg(NO3)2:(NH4)2SO4:N,0,33,mg / kg,applied weekly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
